Isolate_Id	PB2 Segment_Id	PB1 Segment_Id	PA Segment_Id	HA Segment_Id	Location	Collection_Date	Host_Age	Host_Age_Unit
EPI_ISL_266912				EPI1010061 | A/Cantabria/1383/2017_HA	Europe / Spain / Cantabria	2017-01-07	80	Y
EPI_ISL_266909				EPI1010058 | A/Aragon/1534/2017_HA	Europe / Spain / Aragon	2017-01-15	85	Y
EPI_ISL_266306				EPI1006396 | A/Alberta/RV0670/2017 HA	North America / Canada / AB	2017-01-17	72	Y
EPI_ISL_266193				EPI1005950 | A/Quebec/RV1404/2017 HA	North America / Canada / QC	2017-01-01	56	Y
EPI_ISL_266152				EPI1005907 | A/Quebec/RV1025/2017 HA	North America / Canada / QC	2017-01-20	57	Y
EPI_ISL_266147				EPI1005902 | A/Quebec/RV1016/2017 HA	North America / Canada / QC	2017-01-18	7	Y
EPI_ISL_266146				EPI1005901 | A/Quebec/RV1015/2017 HA	North America / Canada / QC	2017-01-12	32	Y
EPI_ISL_266145				EPI1005900 | A/Quebec/RV1014/2017 HA	North America / Canada / QC	2017-01-17	55	Y
EPI_ISL_266144				EPI1005899 | A/Quebec/RV1013/2017 HA	North America / Canada / QC	2017-01-13	47	Y
EPI_ISL_266143				EPI1005898 | A/Quebec/RV1012/2017 HA	North America / Canada / QC	2017-01-11	47	Y
EPI_ISL_266138				EPI1005893 | A/Quebec/RV1007/2017 HA	North America / Canada / QC	2017-01-19	8	Y
EPI_ISL_266137				EPI1005892 | A/Quebec/RV1006/2017 HA	North America / Canada / QC	2017-01-18	13	Y
EPI_ISL_266134				EPI1005889 | A/Quebec/RV1003/2017 HA	North America / Canada / QC	2017-01-17	4	Y
EPI_ISL_266087				EPI1005842 | A/Quebec/RV0638/2017 HA	North America / Canada / QC	2017-01-20	2	Y
EPI_ISL_266071				EPI1005825 | A/Quebec/RV0592/2017 HA	North America / Canada / QC	2017-01-14	79	Y
EPI_ISL_266070				EPI1005824 | A/Quebec/RV0590/2017 HA	North America / Canada / QC	2017-01-17	27	Y
EPI_ISL_266056				EPI1005810 | A/Quebec/RV0458/2017 HA	North America / Canada / QC	2017-01-17	1	M
EPI_ISL_266054				EPI1005808 | A/Quebec/RV0456/2017 HA	North America / Canada / QC	2017-01-16	52	Y
EPI_ISL_266049				EPI1005803 | A/Quebec/RV0353/2017 HA	North America / Canada / QC	2017-01-19		M
EPI_ISL_266045				EPI1005799 | A/Quebec/RV0337/2017 HA	North America / Canada / QC	2017-01-16		Y
EPI_ISL_266040				EPI1005794 | A/Quebec/RV0332/2017 HA	North America / Canada / QC	2017-01-03		Y
EPI_ISL_266035				EPI1005789 | A/Quebec/RV0254/2017 HA	North America / Canada / QC	2017-01-12	5	Y
EPI_ISL_266031				EPI1005785 | A/Quebec/RV0250/2017 HA	North America / Canada / QC	2017-01-07	53	Y
EPI_ISL_266030				EPI1005784 | A/Quebec/RV0249/2017 HA	North America / Canada / QC	2017-01-01	44	Y
EPI_ISL_266029				EPI1005783 | A/Quebec/RV0248/2017 HA	North America / Canada / QC	2017-01-11	56	Y
EPI_ISL_266027				EPI1005781 | A/Quebec/RV0246/2017 HA	North America / Canada / QC	2017-01-06	90	Y
EPI_ISL_266024				EPI1005778 | A/Quebec/RV0203/2017 HA	North America / Canada / QC	2017-01-08	7	Y
EPI_ISL_266015				EPI1005769 | A/Quebec/RV0194/2017 HA	North America / Canada / QC	2017-01-03	79	Y
EPI_ISL_266014				EPI1005768 | A/Quebec/RV0193/2017 HA	North America / Canada / QC	2017-01-03	1	Y
EPI_ISL_265861				EPI1005580 | A/Saskatchewan/RV0616/2017 HA	North America / Canada / SK	2017-01-20	51	Y
EPI_ISL_265851				EPI1005570 | A/Saskatchewan/RV0606/2017 HA	North America / Canada / SK	2017-01-17	19	Y
EPI_ISL_265826				EPI1005544 | A/Saskatchewan/RV0293/2017 HA	North America / Canada / SK	2017-01-07		Y
EPI_ISL_265825				EPI1005543 | A/Saskatchewan/RV0292/2017 HA	North America / Canada / SK	2017-01-11		Y
EPI_ISL_265786				EPI1005480 | A/Prince Edward Island/RV1295/2017 HA	North America / Canada / PE	2017-01-15	87	Y
EPI_ISL_265736				EPI1005425 | A/Ontario/RV1415/2017 HA	North America / Canada / ON	2017-01-15	30	Y
EPI_ISL_265735				EPI1005424 | A/Ontario/RV1408/2017 HA	North America / Canada / ON	2017-01-04	60	Y
EPI_ISL_265635				EPI1005322 | A/Ontario/RV1087/2017 HA	North America / Canada / ON	2017-01-16	71	Y
EPI_ISL_265583				EPI1005270 | A/Ontario/RV0964/2017 HA	North America / Canada / ON	2017-01-12	72	Y
EPI_ISL_265563				EPI1005250 | A/Ontario/RV0918/2017 HA	North America / Canada / ON	2017-01-14	91	Y
EPI_ISL_265558				EPI1005245 | A/Ontario/RV0912/2017 HA	North America / Canada / ON	2017-01-12	73	Y
EPI_ISL_265556				EPI1005243 | A/Ontario/RV0909/2017 HA	North America / Canada / ON	2017-01-19	19	Y
EPI_ISL_265548				EPI1005235 | A/Ontario/RV0900/2017 HA	North America / Canada / ON	2017-01-12	70	Y
EPI_ISL_265545				EPI1005232 | A/Ontario/RV0897/2017 HA	North America / Canada / ON	2017-01-16	86	Y
EPI_ISL_265538				EPI1005225 | A/Ontario/RV0879/2017 HA	North America / Canada / ON	2017-01-17	80	Y
EPI_ISL_265531				EPI1005218 | A/Ontario/RV0826/2017 HA	North America / Canada / ON	2017-01-04	1	M
EPI_ISL_265528				EPI1005215 | A/Ontario/RV0822/2017 HA	North America / Canada / ON	2017-01-20	65	Y
EPI_ISL_265510				EPI1005196 | A/Ontario/RV0803/2017 HA	North America / Canada / ON	2017-01-20	87	Y
EPI_ISL_265500				EPI1005186 | A/Ontario/RV0761/2017 HA	North America / Canada / ON	2017-01-16		Y
EPI_ISL_265498				EPI1005184 | A/Ontario/RV0759/2017 HA	North America / Canada / ON	2017-01-18		Y
EPI_ISL_265484				EPI1005170 | A/Ontario/RV0742/2017 HA	North America / Canada / ON	2017-01-18		Y
EPI_ISL_265472				EPI1005158 | A/Ontario/RV0727/2017 HA	North America / Canada / ON	2017-01-13		Y
EPI_ISL_265465				EPI1005151 | A/Ontario/RV0707/2017 HA	North America / Canada / ON	2017-01-17	86	Y
EPI_ISL_265464				EPI1005150 | A/Ontario/RV0706/2017 HA	North America / Canada / ON	2017-01-18	92	Y
EPI_ISL_265463				EPI1005149 | A/Ontario/RV0705/2017 HA	North America / Canada / ON	2017-01-19	57	Y
EPI_ISL_265462				EPI1005148 | A/Ontario/RV0704/2017 HA	North America / Canada / ON	2017-01-05	51	Y
EPI_ISL_265461				EPI1005147 | A/Ontario/RV0702/2017 HA	North America / Canada / ON	2017-01-10	87	Y
EPI_ISL_265460				EPI1005146 | A/Ontario/RV0701/2017 HA	North America / Canada / ON	2017-01-07	89	Y
EPI_ISL_265455				EPI1005141 | A/Ontario/RV0694/2017 HA	North America / Canada / ON	2017-01-05	96	Y
EPI_ISL_265454				EPI1005140 | A/Ontario/RV0693/2017 HA	North America / Canada / ON	2017-01-06	90	Y
EPI_ISL_265452				EPI1005138 | A/Ontario/RV0691/2017 HA	North America / Canada / ON	2017-01-11	92	Y
EPI_ISL_265450				EPI1005136 | A/Ontario/RV0689/2017 HA	North America / Canada / ON	2017-01-06	10	Y
EPI_ISL_265447				EPI1005133 | A/Ontario/RV0686/2017 HA	North America / Canada / ON	2017-01-16	54	Y
EPI_ISL_265444				EPI1005130 | A/Ontario/RV0683/2017 HA	North America / Canada / ON	2017-01-06	2	Y
EPI_ISL_265438				EPI1005124 | A/Ontario/RV0587/2017 HA	North America / Canada / ON	2017-01-06	94	Y
